,Warehouse_block,Mode_of_shipment,Customer_care_calls,Customer_rating,Cost_of_the_product_($),Prior_purchases,Prior_purchases_interval,Product_importance,Gender,Discount_offered_($),Discount_interval,Weight_in_gms,Weight_Category,Reached_on_Time_(0/1),Revenue_($)
289,E,Flight,4,2,172,3,2 - 4,Medium,F,59,> 10,1858,Small,1,113
290,A,Flight,4,4,270,3,2 - 4,Low,M,12,> 10,3279,Medium,1,258
291,B,Ship,4,1,206,3,2 - 4,Medium,M,23,> 10,3807,Medium,1,183
292,C,Ship,4,3,211,4,2 - 4,Medium,M,40,> 10,3106,Medium,1,171
293,E,Ship,3,2,136,4,2 - 4,Low,M,62,> 10,1090,Small,1,74
294,D,Ship,5,1,186,2,0 - 2,High,F,52,> 10,3981,Medium,1,134
295,E,Ship,3,1,202,2,0 - 2,Medium,M,62,> 10,3398,Medium,1,140
296,A,Ship,4,2,183,3,2 - 4,Medium,F,12,> 10,3646,Medium,1,171
297,B,Ship,4,4,232,2,0 - 2,Low,M,36,> 10,2861,Small,1,196
298,C,Ship,4,2,147,4,2 - 4,Medium,M,52,> 10,1129,Small,1,95
299,E,Ship,4,3,136,3,2 - 4,Medium,M,20,> 10,1531,Small,1,116
300,D,Ship,5,3,127,3,2 - 4,Low,F,43,> 10,1446,Small,1,84
301,E,Ship,4,5,202,2,0 - 2,Medium,M,35,> 10,3695,Medium,1,167
302,A,Ship,3,4,241,2,0 - 2,Low,M,57,> 10,3671,Medium,1,184
303,B,Ship,4,3,222,2,0 - 2,Medium,M,55,> 10,3833,Medium,1,167
304,C,Ship,3,2,183,4,2 - 4,Medium,F,12,> 10,2777,Small,1,171
305,E,Ship,4,4,249,3,2 - 4,Medium,F,36,> 10,3769,Medium,1,213
306,D,Ship,3,1,243,4,2 - 4,High,M,59,> 10,3838,Medium,1,184
307,E,Ship,3,3,163,3,2 - 4,Medium,M,9,4 - 10,1257,Small,1,154
308,A,Ship,4,2,165,2,0 - 2,High,M,11,> 10,1596,Small,1,154
309,B,Ship,5,5,266,3,2 - 4,Medium,F,53,> 10,3089,Medium,1,213
310,C,Ship,3,4,193,2,0 - 2,Medium,M,48,> 10,3909,Medium,1,145
311,E,Ship,3,2,154,3,2 - 4,Low,F,56,> 10,1136,Small,1,98
312,D,Ship,3,3,140,3,2 - 4,Medium,M,51,> 10,1046,Small,1,89
313,E,Ship,4,3,272,3,2 - 4,Medium,M,38,> 10,3705,Medium,1,234
